"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_basement","yr_built","sqft_living15","sqft_lot15","seattle","renovated"
"52",285000,4,2.5,2360,7350,1,"0",0,4,7,920,1965,1450,7305,FALSE,"0"
"53",179900,3,1.75,1230,12000,1,"0",0,3,6,0,1970,1550,12000,FALSE,"0"
"54",510000,4,2.5,4073,17334,2,"0",0,3,8,0,2008,1780,9625,FALSE,"0"
"55",330000,5,2.5,3597,4972,2,"0",0,3,7,0,2006,3193,6000,FALSE,"0"
"56",263400,4,2,1360,60548,1,"0",0,3,6,400,1960,1930,28800,FALSE,"0"
"57",250000,3,1.5,2030,14400,1,"0",0,4,7,720,1969,1330,14400,FALSE,"0"
"58",409000,4,2.75,3230,12651,2,"0",0,4,8,0,2002,2550,12081,FALSE,"0"
"59",199000,4,1,1220,11730,1,"0",0,4,7,0,1960,1270,9520,FALSE,"0"
"60",299950,3,2.5,1870,7942,2,"0",0,3,7,0,1990,1870,7392,FALSE,"0"
"61",341780,4,2.75,2260,4440,2,"0",0,3,7,0,2014,2260,4563,FALSE,"0"
"62",195000,3,1,1070,22489,1,"0",0,3,7,0,1967,1880,20250,FALSE,"0"
"63",312891,5,3,2300,8214,2,"0",0,3,8,0,2013,2594,4950,FALSE,"0"
"64",201700,3,1,1010,9576,1,"0",0,4,7,0,1967,1540,9576,FALSE,"0"
"65",1e+05,2,1,770,17334,1,"0",0,3,7,0,1978,1480,17334,FALSE,"0"
"66",115000,1,2,1150,9812,1,"0",0,4,7,0,1962,1200,9812,FALSE,"0"
"67",270000,4,1.75,1850,7350,1,"0",0,3,7,800,1965,1450,7250,FALSE,"0"
"68",260000,5,2.25,2320,6375,1,"0",0,4,7,1050,1967,1760,7600,FALSE,"0"
"69",205000,3,2,1410,8384,1,"0",0,3,7,0,1985,1410,9205,FALSE,"0"
"70",1e+05,2,1,910,22000,1,"0",0,3,6,0,1956,1326,9891,FALSE,"0"
"71",196440,3,2,1560,7352,1,"0",0,3,6,0,1992,1120,7950,FALSE,"0"
"72",250600,4,2.5,1930,8660,1,"0",0,3,7,810,1981,1830,9591,FALSE,"0"
"73",415000,4,2.5,2891,6499,2,"0",0,3,9,0,2014,2550,8383,FALSE,"0"
"74",355000,4,2.75,2050,4000,2,"0",0,3,8,0,2014,2050,4000,FALSE,"0"
"75",227950,3,1.5,1670,8230,1,"0",0,5,7,0,1954,2077,4910,FALSE,"0"
"76",367950,4,2.5,3030,9500,2,"0",0,3,8,0,1989,2650,9500,FALSE,"0"
"77",230000,3,2.25,1830,11331,1,"0",0,3,7,580,1965,2240,16433,FALSE,"0"
"78",264500,3,1.5,1580,14040,1,"0",0,3,7,530,1980,2240,12000,FALSE,"0"
"79",429000,3,1,1540,37950,1,"0",0,4,7,450,1959,1820,24375,FALSE,"0"
"80",340000,4,2.5,2550,7555,2,"0",0,3,8,0,2001,2550,6800,FALSE,"0"
"81",420000,5,2.25,3070,64033,1,"0",0,3,9,340,1983,1560,28260,FALSE,"0"
"82",225000,3,2,2030,24829,1,"0",0,4,7,810,1979,1980,15204,FALSE,"0"
"83",184000,3,1.75,1490,10125,1,"0",0,4,7,0,1962,2488,4981,FALSE,"0"
"84",215500,3,2,1380,9000,2,"0",0,2,7,0,1946,1460,9732,FALSE,"1"
"85",485000,4,2.5,3710,15935,1,"0",0,3,10,1580,2005,3674,17913,FALSE,"0"
"86",637000,4,3.5,4083,68377,2,"0",0,3,10,0,2005,2430,41382,FALSE,"0"
"87",639900,4,2.5,3380,75794,2,"0",0,3,10,0,1997,3710,17913,FALSE,"0"
"88",460000,3,2.5,2720,40813,2,"0",0,3,8,0,2001,2250,40511,FALSE,"0"
"89",340000,4,2.5,2181,5521,2,"0",0,3,8,0,2006,2333,5143,FALSE,"0"
"90",230000,3,1,1390,16000,1,"0",0,4,6,0,1960,1420,10000,FALSE,"0"
"91",205000,3,1,1370,10708,1,"0",0,3,7,0,1969,1770,14482,FALSE,"0"
"92",260000,3,1.75,1670,8511,1,"0",0,3,7,330,1985,1580,7218,FALSE,"0"
"93",449888,3,2.25,2520,78408,2,"0",0,3,9,0,1988,1490,29972,FALSE,"0"
"94",239950,3,2.25,1560,8280,2,"0",0,4,7,0,1979,1920,8120,FALSE,"0"
"95",303000,4,2.25,2560,8927,1,"0",0,3,7,770,1976,1920,9669,FALSE,"0"
"96",225000,3,1,1250,7820,1,"0",0,3,7,0,1967,1300,7920,FALSE,"0"
"97",225000,3,2.5,1740,10050,2,"0",0,3,7,0,1989,1300,10125,FALSE,"0"
"98",215000,3,2.5,1322,6006,2,"0",0,3,7,0,2009,1440,6796,FALSE,"0"
"99",290000,3,2.5,1600,6848,2,"0",0,3,7,0,2000,1700,7210,FALSE,"0"
"100",260000,5,2.5,2025,7760,2,"0",0,3,7,0,2007,1664,9000,FALSE,"0"
"101",165000,3,1,1150,19200,1,"0",0,4,5,0,1908,1290,19200,FALSE,"0"
"102",351000,3,2.5,2594,4455,2,"0",0,3,8,0,2012,2981,4950,FALSE,"0"
"103",172500,3,1,1140,8800,1,"0",0,3,7,0,1972,1270,13560,FALSE,"0"
"104",206000,4,2,1720,7560,1,"0",0,3,7,0,1959,1750,7988,FALSE,"0"
"105",352000,4,2.5,1252,25002,1,"0",0,3,8,260,1996,1860,25002,FALSE,"0"
"106",257000,4,1.5,1400,8500,2,"0",0,3,7,0,1975,1580,7650,FALSE,"0"
"107",359000,4,2.25,2710,22860,1,"0",0,4,7,860,1962,1700,22860,FALSE,"0"
"108",286950,4,2.5,2080,9846,1,"0",0,3,7,840,1984,1890,7977,FALSE,"0"
"109",169000,3,1,910,7686,1,"0",0,3,7,0,1969,1020,7686,FALSE,"0"
"110",233000,4,2,2130,9579,1,"0",0,4,7,880,1968,1590,9800,FALSE,"0"
"111",329500,3,2.5,2120,22482,1,"0",0,5,7,760,1979,2330,16016,FALSE,"0"
"112",226500,3,2,1560,7000,1,"0",0,4,7,0,1968,1560,7200,FALSE,"0"
"113",230000,6,1.5,2140,36509,1.5,"0",0,4,8,0,1903,1710,12000,FALSE,"1"
"114",204700,4,2,1670,9987,1,"0",0,3,7,0,1967,1640,7280,FALSE,"0"
"115",154000,3,3,1530,9997,1,"0",0,3,6,510,1992,1410,9997,FALSE,"0"
"116",295000,3,2.5,1940,10350,1,"0",0,3,7,520,1979,1810,7800,FALSE,"0"
"117",150000,3,1,1310,9612,1,"0",0,3,7,350,1962,1310,9812,FALSE,"0"
"118",225000,3,1,1660,7210,1,"0",0,3,7,560,1963,1660,7245,FALSE,"0"
"119",272000,4,2.5,2789,3960,2,"0",0,3,7,0,2007,2547,3960,FALSE,"0"
"120",233000,3,2,1400,9177,1,"0",0,3,7,0,1974,2020,8547,FALSE,"0"
"121",384000,5,2.75,3220,8160,2,"0",0,3,9,0,1999,2876,11521,FALSE,"0"
"122",239950,3,2.5,1560,4800,2,"0",0,4,7,0,1974,1510,12240,FALSE,"0"
"123",289950,3,2.5,1770,9450,1,"0",0,3,8,0,1988,2200,8582,FALSE,"0"
"124",276000,4,2.5,2068,7242,2,"0",0,4,7,0,1976,1560,7524,FALSE,"0"
"125",285000,3,2.5,1590,9736,2,"0",0,3,7,0,1985,1580,7500,FALSE,"0"
"126",353500,4,3,2050,4000,2,"0",0,3,8,0,2014,2050,4000,FALSE,"0"
"127",255000,3,1,1710,12000,1,"0",0,4,7,0,1972,1310,9600,FALSE,"0"
"128",480000,4,2.5,3230,16171,2,"0",3,3,9,710,2001,2640,8517,FALSE,"0"
"129",245000,3,1.75,1920,9306,1,"0",0,3,7,920,1984,1860,8458,FALSE,"0"
"130",275000,4,2.75,2060,7350,1,"0",0,3,7,850,1978,1940,7420,FALSE,"0"
"131",240000,4,1,1220,8075,1,"0",0,2,7,330,1969,1290,7800,FALSE,"0"
"132",370000,3,1.75,1620,37913,2,"0",0,4,7,0,1953,2190,21518,FALSE,"1"
"133",284200,3,2.5,1570,9292,1,"0",0,3,7,460,1977,1470,9222,FALSE,"0"
"134",221000,3,1,1250,7280,1,"0",0,3,7,0,1965,1450,7350,FALSE,"0"
"135",199950,2,1.75,870,18537,1,"0",0,4,6,0,1946,1300,22800,FALSE,"0"
"136",139000,3,1,1100,17334,1,"0",0,3,7,0,1978,1530,18694,FALSE,"0"
"137",317500,4,2.5,2233,6025,2,"0",0,3,7,0,2012,1544,6036,FALSE,"0"
"138",250000,4,2.25,1730,8400,1,"0",0,3,7,0,1962,1550,7920,FALSE,"0"
"139",206000,3,1.75,1140,9800,1,"0",0,4,7,0,1968,1370,9800,FALSE,"0"
"140",184000,3,1,970,14850,1,"0",0,3,7,0,1968,1410,14850,FALSE,"0"
"141",329995,4,2.5,2303,3680,2,"0",0,3,8,0,2013,2303,3760,FALSE,"0"
"142",552900,4,3.5,3828,18900,2.5,"0",0,3,9,0,2014,2120,18900,FALSE,"0"
"143",275000,3,2.5,2217,8019,2,"0",0,3,7,0,2009,1470,8037,FALSE,"0"
"144",335000,3,2.25,2060,47318,1,"0",2,4,8,460,1976,1870,19663,FALSE,"0"
"145",292500,4,2.5,1610,4568,2,"0",0,3,7,0,2006,1834,4604,FALSE,"0"
"146",455000,4,2.5,3170,10688,2,"0",2,3,9,0,2001,3100,12610,FALSE,"0"
"147",215500,2,1.75,1220,15600,1,"0",0,3,6,0,1972,1510,17818,FALSE,"0"
"148",480000,4,2.5,2940,9172,2,"0",0,3,9,0,2006,2660,7955,FALSE,"0"
"149",245000,4,2.5,1921,4888,2,"0",0,3,7,0,2009,1921,9140,FALSE,"0"
"150",205000,4,1,1340,7920,1,"0",0,4,7,0,1970,1090,9600,FALSE,"0"
"151",183500,3,1,1010,7520,1,"0",0,4,6,0,1975,1370,8469,FALSE,"0"
"152",234950,3,2,1430,10850,1,"0",0,3,7,0,1994,1610,8015,FALSE,"0"
"153",199129,3,1,860,33664,1,"0",0,4,6,0,1955,1290,18287,FALSE,"0"
"154",175000,3,1.75,1230,13056,1,"0",0,4,7,0,1962,1690,15750,FALSE,"0"
"155",182500,3,1,910,7194,1,"0",0,4,7,0,1971,1530,7200,FALSE,"0"
"156",276000,3,2.5,2495,4400,2,"0",0,3,8,0,2007,2434,4400,FALSE,"0"
"157",321500,4,2.5,2620,5457,2,"0",0,3,8,0,2003,2740,5816,FALSE,"0"
"158",160000,3,1.75,1370,8006,2,"0",0,3,7,0,1990,1530,8006,FALSE,"0"
"159",247000,5,2,1590,9350,1,"0",0,5,7,530,1962,1460,8210,FALSE,"0"
"160",279000,2,2.75,1770,10534,1,"0",0,3,8,560,2003,1600,17400,FALSE,"0"
"161",411000,4,2,2370,76665,2,"0",0,4,8,0,1978,2110,19334,FALSE,"0"
"162",338500,4,2.5,2717,4513,2,"0",0,3,8,0,2005,2550,4841,FALSE,"0"
"163",185000,3,1,1510,17040,1,"0",0,4,6,0,1975,1520,14000,FALSE,"0"
"164",132500,3,1,1080,10500,1,"0",0,3,7,0,1967,1200,9607,FALSE,"0"
"165",260000,4,1.5,1540,7300,2,"0",0,3,7,0,1973,1580,7650,FALSE,"0"
"166",234000,4,2.5,1820,8217,1,"0",0,3,7,700,1987,1310,8217,FALSE,"0"
"167",256000,3,2.5,1570,5113,1,"0",0,3,7,480,1996,1570,5150,FALSE,"0"
"168",185000,3,1,980,9135,1,"0",0,3,7,0,1955,1780,9135,FALSE,"0"
"169",415000,2,1,1050,60113,1,"0",0,4,7,0,1943,1380,27442,FALSE,"0"
"170",625000,3,1.75,3160,76230,1,"0",0,4,8,1000,1978,1990,45789,FALSE,"0"
"171",425000,3,2.5,2650,12247,2,"0",0,3,9,0,2002,2920,8965,FALSE,"0"
"172",360000,4,2,2680,18768,1,"0",0,5,8,0,1965,1230,15750,FALSE,"0"
"173",220000,3,1.5,1600,10548,1,"0",0,4,7,0,1962,2880,13609,FALSE,"0"
"174",225000,3,1,1080,16000,1,"0",0,3,6,0,1952,1610,10007,FALSE,"0"
"175",359000,4,2.5,2575,4725,2,"0",0,3,8,0,2011,2575,5323,FALSE,"0"
"176",171500,3,1,1150,6480,1.5,"0",0,4,5,0,1946,1100,7300,FALSE,"0"
"177",219000,3,1.5,1200,12000,1,"0",0,3,7,0,1986,1200,9405,FALSE,"0"
"178",360000,4,2.5,2160,9528,2,"0",0,3,9,0,1992,2280,9937,FALSE,"0"
"179",250000,3,2,1170,7258,1,"0",0,3,7,0,1984,1410,7750,FALSE,"0"
"180",549950,4,3.5,3906,9674,2,"0",2,3,9,0,2014,2673,6500,FALSE,"0"
"181",349950,4,2.5,2632,4117,2,"0",0,3,8,0,2013,2040,5195,FALSE,"0"
"182",166000,1,1,1120,17332,1,"0",0,3,7,0,1988,1280,17334,FALSE,"0"
"183",367300,4,2.75,2190,14937,2,"0",0,3,8,0,1993,1920,11360,FALSE,"0"
"184",213550,3,2.5,1580,8541,2,"0",0,3,7,0,1990,1640,7542,FALSE,"0"
"185",269950,4,1,1440,9600,1,"0",0,2,7,0,1964,1740,43560,FALSE,"0"
"186",194820,3,1.5,1100,32700,1,"0",0,3,7,0,1967,1616,32700,FALSE,"0"
"187",180000,3,1.75,1330,16000,1,"0",0,3,7,0,1978,1330,14374,FALSE,"0"
"188",159000,3,1,1360,20000,1,"0",0,4,7,0,1953,1530,9997,FALSE,"0"
"189",210000,4,2.25,1500,5393,2,"0",0,3,7,0,1999,1700,5917,FALSE,"0"
"190",174000,2,1,900,13531,1,"0",0,3,6,0,1979,1767,8308,FALSE,"0"
"191",229950,4,1.75,1300,21000,1,"0",0,4,7,0,1969,2120,9920,FALSE,"0"
"192",280000,2,1.75,1894,52769,1.5,"0",0,4,6,374,1936,1820,50529,FALSE,"0"
"193",302000,4,2.5,1740,7895,2,"0",0,3,7,0,1999,1720,6813,FALSE,"0"
"194",272000,3,2,1380,7476,1,"0",0,3,7,0,1989,1600,7227,FALSE,"0"
"195",190848,4,1.5,1370,7904,1,"0",0,3,7,470,1970,1370,7900,FALSE,"0"
"196",216000,4,2.5,1847,8000,2,"0",0,3,7,0,2008,1767,8000,FALSE,"0"
"197",225000,3,1,1120,10665,1,"0",0,4,6,0,1961,1240,10639,FALSE,"0"
"198",209000,3,1.75,1250,8084,1,"0",0,4,7,0,1967,1340,7680,FALSE,"0"
"199",332000,3,2.25,2120,14915,1,"0",0,3,9,400,1979,2320,13100,FALSE,"0"
"200",457000,4,2.5,2820,6983,2,"0",0,3,9,0,2013,2597,7222,FALSE,"0"
"201",175000,3,1,1070,6164,1,"0",0,3,7,0,1967,1320,7920,FALSE,"0"
"202",235245,4,2.5,1954,5075,2,"0",0,3,8,0,2007,1934,5000,FALSE,"0"
"203",370228,4,3,2050,4000,2,"0",0,3,8,0,2014,2050,4000,FALSE,"0"
"204",210000,3,1,1730,7210,1,"0",0,3,7,300,1963,1820,7210,FALSE,"0"
"205",330000,4,2.5,3504,6000,2,"0",0,3,7,0,2006,2790,5231,FALSE,"0"
"206",238000,3,1.5,1360,7488,1,"0",0,4,7,310,1975,1580,7508,FALSE,"0"
"207",175000,3,1.5,1220,7300,1,"0",0,3,7,0,1973,1260,7347,FALSE,"0"
"208",175000,2,1,1300,44431,1,"0",0,5,6,0,1958,1470,14850,FALSE,"0"
"209",309000,5,2.75,2481,4045,2,"0",0,3,8,0,2014,2363,4175,FALSE,"0"
"210",2e+05,2,1,1730,9610,1,"0",0,3,7,350,1962,1310,9812,FALSE,"0"
"211",465000,3,3,2290,15600,1,"0",0,3,8,870,1948,1890,14143,FALSE,"1"
"212",262500,3,1.75,2259,26831,1.5,"0",3,5,7,768,1908,1980,15794,FALSE,"0"
"213",375500,4,2.5,2301,6452,2,"0",0,3,9,0,2010,2650,6054,FALSE,"0"
"214",267000,3,2.5,2495,4400,2,"0",0,3,8,0,2007,2434,4400,FALSE,"0"
"215",199900,4,1.75,1790,12000,1,"0",0,5,6,0,1944,1550,9840,FALSE,"0"
"216",267500,2,1,1747,12250,2.5,"0",0,4,6,0,1948,1620,10300,FALSE,"0"
"217",313100,3,2,1730,12821,1,"0",0,3,8,0,1994,1980,11336,FALSE,"0"
"218",465000,3,2.5,2714,17936,2,"0",0,3,9,0,2005,2590,18386,FALSE,"0"
"219",331210,4,2.5,2240,4800,2,"0",0,3,8,0,2014,2240,5040,FALSE,"0"
"220",240000,3,1,1690,20063,1.5,"0",0,4,7,0,1913,1700,15899,FALSE,"0"
"221",237000,3,1.5,1800,9216,1,"0",0,4,7,0,1950,1400,10022,FALSE,"0"
"222",280000,3,2.5,1600,4271,2,"0",0,3,7,0,2000,1700,4746,FALSE,"0"
"223",212000,3,1.75,1470,8350,1,"0",0,3,7,0,1990,1590,8182,FALSE,"0"
"224",360000,4,2.5,2390,7056,2,"0",0,3,9,0,1990,2590,7801,FALSE,"0"
"225",210000,3,2,1440,10111,1,"0",0,3,7,0,1963,1580,10200,FALSE,"0"
"226",515000,3,2.5,3430,48993,2,"0",0,3,9,0,2001,2460,36256,FALSE,"0"
"227",229500,3,1.5,1810,14400,1,"0",0,4,7,0,1954,1710,12000,FALSE,"0"
"228",270500,5,2.5,2406,7093,2,"0",0,3,8,0,2006,1767,7093,FALSE,"0"
"229",290000,4,2.5,2000,13300,1,"0",0,4,7,800,1968,1800,9810,FALSE,"0"
"230",289000,3,2.5,1970,9607,2,"0",0,3,7,880,1988,2020,9608,FALSE,"0"
"231",310000,3,1.75,1880,30346,1,"0",0,3,8,0,1988,2260,5883,FALSE,"0"
"232",214000,3,2.5,1600,2231,2,"0",0,3,7,0,2003,1600,2962,FALSE,"0"
"233",270000,3,2.5,1770,8640,1,"0",0,3,7,350,1986,1894,7974,FALSE,"0"
"234",280000,3,2.5,1550,4486,2,"0",0,3,7,0,2000,1700,4487,FALSE,"0"
"235",199500,3,1,920,9812,1,"0",0,4,7,0,1962,1188,9812,FALSE,"0"
"236",290000,5,2.5,2780,9652,1,"0",0,4,8,1390,1967,1790,9652,FALSE,"0"
"237",241000,3,2,1770,7000,1,"0",0,3,7,0,1986,1510,10462,FALSE,"0"
"238",238000,2,1,1088,8453,1,"0",0,3,6,0,1952,1088,8016,FALSE,"1"
"239",265000,3,1.5,1780,10196,1,"0",0,4,7,510,1967,1320,7875,FALSE,"0"
"240",541800,4,2.5,3118,7866,2,"0",2,3,9,0,2014,2673,6500,FALSE,"0"
"241",215000,3,2,1760,9282,1,"0",0,5,7,660,1947,1730,7500,FALSE,"0"
"242",232000,3,1.5,1460,15000,1,"0",0,3,7,0,1966,1510,15000,FALSE,"0"
"243",5e+05,5,3,3720,25474,2,"0",4,3,9,1630,1986,1870,14547,FALSE,"0"
"244",196500,3,1,1320,9000,1,"0",0,3,7,0,1966,1320,9800,FALSE,"0"
"245",170000,2,1,1280,21750,1.5,"0",0,5,6,0,1912,1520,21750,FALSE,"0"
"246",196000,3,1.5,1000,18568,1,"0",0,3,6,0,1989,1610,17420,FALSE,"0"
"247",235000,4,1,1610,24000,1.5,"0",0,3,6,0,1947,1270,9600,FALSE,"0"
"248",234500,4,2.5,1960,7875,1,"0",0,3,7,740,1978,2030,7650,FALSE,"0"
"249",220000,3,1.75,1290,8250,1,"0",0,3,7,0,1983,1410,7823,FALSE,"0"
"250",207000,3,1,1980,18730,1,"0",0,4,7,700,1943,1356,9450,FALSE,"0"
"251",214100,2,2.5,1150,2064,2,"0",0,3,7,0,2004,1880,2855,FALSE,"0"
"252",359500,4,2.75,2140,10316,2,"0",0,3,8,0,1993,1920,11337,FALSE,"0"
"253",370000,5,3,2670,9920,1,"0",0,3,8,1270,1990,1890,10341,FALSE,"0"
"254",245000,4,2.25,2190,9113,2,"0",0,3,7,0,1986,1570,8306,FALSE,"0"
"255",215000,3,1.5,1100,33600,1,"0",0,3,7,0,1967,1570,32700,FALSE,"0"
"256",355000,4,2.5,2770,7000,1,"0",0,4,7,830,1979,2140,7684,FALSE,"0"
"257",430000,5,2.5,3860,42733,1,"0",3,4,8,1560,1955,2520,19353,FALSE,"0"
"258",299000,3,1.75,2100,15480,1,"0",0,3,7,0,1983,1330,15657,FALSE,"0"
"259",317000,4,2.5,2160,8049,2,"0",0,3,9,0,1988,2490,8995,FALSE,"0"
"260",278000,3,1.75,2710,9088,1,"0",0,4,7,650,1965,1690,10454,FALSE,"0"
"261",453000,4,2.5,2502,8306,2,"0",0,3,9,0,2013,2597,6983,FALSE,"0"
"262",139950,0,0,844,4269,1,"0",0,4,7,0,1913,1380,9600,FALSE,"0"
"263",178500,3,1,900,10511,1,"0",0,4,6,0,1961,1460,10643,FALSE,"0"
"264",250000,5,1.75,2320,7700,1,"0",0,5,7,1030,1962,1740,7210,FALSE,"0"
"265",250000,3,2.5,1750,6351,2,"0",0,3,7,0,2012,1398,6092,FALSE,"0"
"266",250000,3,2,1660,13085,1,"0",0,3,7,650,1985,1660,7778,FALSE,"0"
"267",285000,4,2.5,2434,4400,2,"0",0,3,8,0,2007,2434,4400,FALSE,"0"
"268",198000,3,1.75,1300,6318,1,"0",0,3,7,0,1980,1150,8002,FALSE,"0"
"269",289000,3,2,1850,9550,1,"0",0,3,8,0,1988,2250,9550,FALSE,"0"
"270",275000,3,2.5,2497,4400,2,"0",0,3,8,0,2007,2434,4400,FALSE,"0"
"271",280000,4,2.5,1934,5677,2,"0",0,3,8,0,2013,1919,5049,FALSE,"0"
"272",265000,4,1.5,2050,7100,1,"0",0,3,7,1000,1963,1950,7350,FALSE,"0"
"273",299950,3,2.5,1600,9830,2,"0",0,4,8,0,1993,1890,8910,FALSE,"0"
"274",227000,3,1.75,1510,9837,2,"0",0,3,7,0,1989,1470,8054,FALSE,"0"
"275",250000,4,2.75,1830,6643,2,"0",0,3,8,0,2001,2400,6472,FALSE,"0"
"276",269500,4,2.25,1700,7056,2,"0",0,3,7,0,1999,1650,6025,FALSE,"0"
"277",215000,4,2.5,2130,4496,2,"0",0,3,7,0,2004,3220,5400,FALSE,"0"
"278",541500,3,1.75,2320,55847,1,"0",2,4,8,0,1960,2400,26112,FALSE,"0"
"279",299999,3,2.5,2380,9719,2,"0",0,3,8,0,2001,2830,11505,FALSE,"0"
"280",240000,4,1.75,1880,9600,1,"0",0,5,7,860,1946,1560,14400,FALSE,"0"
"281",212500,3,1,920,14400,1,"0",0,4,7,0,1977,1170,9600,FALSE,"0"
"282",299000,3,1.75,1910,17003,1.5,"0",0,4,8,0,1963,1820,14806,FALSE,"0"
"283",165000,3,1.5,1280,7742,1,"0",0,3,7,0,1973,1566,7696,FALSE,"0"
"284",249900,3,1.75,1380,14000,1,"0",0,4,5,0,1939,1490,18503,FALSE,"1"
"285",230000,3,2,1450,11204,1,"0",0,3,7,0,2003,1520,9518,FALSE,"0"
